Session_ID,Session_Date,App_ID,App_Category,Platform,User_Type,Region,Session_Duration_Minutes,Data_Usage_MB,Engagement_Score
SESS000001,2024-04-24,App_7,Entertainment,iOS,Premium,Europe,18.48,488.69,44
SESS000002,2024-01-26,App_3,Gaming,Android,Free,North America,74.54,307.12,16
SESS000003,2024-10-08,App_13,Social Media,Android,Free,North America,6.9,265.12,80
SESS000004,2024-09-07,App_3,Health & Fitness,iOS,Premium,North America,14.62,365.32,5
SESS000005,2024-08-16,App_13,Social Media,iOS,Free,Asia,5.58,366.41,82
SESS000006,2024-05-22,App_11,Productivity,Android,Free,Europe,82.45,124.78,41
SESS000007,2024-04-14,App_12,Health & Fitness,Android,Premium,Asia,103.41,300.96,32
SESS000008,2024-03-30,App_11,Health & Fitness,iOS,Free,South America,70.01,379.53,40
SESS000009,2025-03-08,App_7,Entertainment,Android,Free,Asia,5.99,90.08,69
SESS000010,2024-02-02,App_6,Social Media,iOS,Free,Africa,86.37,91.03,55
SESS000011,2024-01-31,App_15,Entertainment,iOS,Premium,North America,8.24,324.88,38
SESS000012,2024-04-05,App_7,Gaming,Android,Free,South America,86.03,247.74,5
SESS000013,2024-08-11,App_8,Health & Fitness,Android,Free,Europe,31.83,60.19,14
SESS000014,2024-08-26,App_14,Entertainment,iOS,Premium,Asia,31.64,45.01,8
SESS000015,2025-06-01,App_15,Gaming,Android,Free,South America,81.73,473.1,39
SESS000016,2024-01-28,App_15,Social Media,iOS,Premium,Asia,103.04,287.21,86
SESS000017,2024-07-22,App_7,Social Media,Android,Free,Asia,43.05,474.54,18
SESS000018,2025-03-05,App_7,Productivity,iOS,Premium,Asia,86.48,194.03,90
SESS000019,2024-08-13,App_2,Gaming,Android,Free,North America,72.47,204.08,34
SESS000020,2025-04-04,App_11,Gaming,iOS,Premium,North America,42.62,348.36,49
SESS000021,2024-10-11,App_11,Entertainment,iOS,Premium,North America,10.22,69.69,20
SESS000022,2024-01-07,App_14,Health & Fitness,Android,Free,Africa,53.81,171.98,36
SESS000023,2024-06-12,App_9,Health & Fitness,Android,Premium,Europe,61.81,48.38,44
SESS000024,2025-03-08,App_3,Productivity,Android,Free,Asia,29.2,177.9,53
SESS000025,2024-12-14,App_11,Productivity,Android,Free,Asia,39.77,353.78,10
SESS000026,2024-10-11,App_14,Productivity,iOS,Free,Asia,45.19,439.59,68
SESS000027,2024-06-08,App_6,Gaming,iOS,Premium,Africa,98.9,250.09,47
SESS000028,2024-08-08,App_2,Social Media,iOS,Premium,Africa,50.5,92.69,10
SESS000029,2024-12-10,App_3,Social Media,Android,Premium,Africa,77.38,201.01,64
SESS000030,2024-04-14,App_9,Entertainment,iOS,Premium,Asia,105.23,113.71,40
SESS000031,2024-04-04,App_7,Health & Fitness,Android,Free,Europe,18.03,492.83,95
SESS000032,2025-01-24,App_9,Health & Fitness,iOS,Premium,Asia,39.86,316.69,39
SESS000033,2024-04-09,App_3,Entertainment,Android,Free,Europe,94.79,170.19,53
SESS000034,2025-01-02,App_12,Gaming,iOS,Premium,Africa,40.86,376.03,3
SESS000035,2024-12-18,App_4,Social Media,Android,Premium,South America,49.57,262.17,4
SESS000036,2024-09-27,App_14,Productivity,iOS,Free,North America,78.59,10.69,37
SESS000037,2024-02-14,App_1,Social Media,iOS,Free,North America,57.01,303.28,42
SESS000038,2025-04-15,App_13,Entertainment,iOS,Free,Europe,116.85,491.01,24
